,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,CAR,ENGINE
60,mercedes,2023,20,0,7,1,5,2,1,382,2nd,Mercedes F1 W14 E Performance,Mercedes F1 M14 E Performance
61,red-bull-racing,2014,19,3,12,0,3,1,2,405,2nd,Red Bull RB10,Renault Energy F1
62,red-bull-racing,2015,19,0,3,0,3,2,2,187,4th,Red Bull RB11,Renault Energy F1-2015
63,red-bull-racing,2016,21,2,16,1,5,1,1,468,2nd,Red Bull RB12,TAG Heuer RB12
64,red-bull-racing,2017,20,3,13,0,2,1,2,368,3rd,Red Bull RB13,TAG Heuer RB13
65,red-bull-racing,2018,21,4,13,2,6,1,1,419,3rd,Red Bull RB14,TAG Heuer RB14
66,red-bull-racing,2019,21,3,9,2,5,1,1,417,3rd,Red Bull RB15,Honda RA619H
67,red-bull-racing,2020,17,2,13,1,3,1,1,319,2nd,Red Bull RB16,Honda RA620H
68,red-bull-racing,2021,22,11,23,10,8,1,1,585.5,2nd,Red Bull RB16B,Honda RA621H
69,red-bull-racing,2022,22,17,28,8,8,1,1,759,1st,Red Bull RB18,Red Bull RBPTH001
70,red-bull-racing,2023,20,19,27,13,10,1,1,782,1st,Red Bull RB19,Honda H001
71,sauber,2014,19,0,0,0,0,11,9,0,10th,Sauber C33,Ferrari 059/3
72,sauber,2015,19,0,0,0,0,5,8,36,8th,Sauber C34,
73,sauber,2016,21,0,0,0,0,9,14,2,10th,Sauber C35,
74,sauber,2017,20,0,0,0,0,8,11,5,10th,Sauber C36,Ferrari 059/5
75,sauber,2018,21,0,0,0,0,6,6,48,8th,Sauber C37,Ferrari 063
76,scuderia-alphatauri-honda,2020,17,1,1,0,0,1,4,107,7th,AlphaTauri AT01,Honda RA620H
77,scuderia-alphatauri-honda,2021,22,0,1,0,1,3,2,142,6th,AlphaTauri AT02,Honda RA621H
78,scuderia-alphatauri-honda,2022,22,0,0,0,0,5,5,35,9th,AlphaTauri AT03,Red Bull RBPTH001
79,scuderia-alphatauri-honda,2023,20,0,0,0,1,7,4,21,8th,AlphaTauri AT04,Honda H001
80,williams,2014,19,0,9,1,2,2,1,320,3rd,Williams FW36,Mercedes PU106A Hybrid
81,williams,2015,19,0,4,0,0,3,3,257,3rd,Williams FW37,Mercedes PU106B Hybrid
82,williams,2016,21,0,1,0,0,3,2,138,5th,Williams FW38,Mercedes PU106C Hybrid
83,williams,2017,20,0,1,0,0,3,2,83,5th,Williams FW40,Mercedes F1 M08 EQ Power+
84,williams,2018,21,0,0,0,0,8,10,7,10th,Williams FW41,Mercedes F1 M09 EQ Power+
85,williams,2019,21,0,0,0,0,10,14,1,10th,Williams FW42,Mercedes F1 M10 EQ Power+
86,williams,2020,17,0,0,0,0,11,11,0,10th,Williams FW43,Mercedes M11 EQ Performance
87,williams,2021,22,0,1,0,0,2,2,23,8th,Williams FW43B,Mercedes F1 M12 E Performance
88,williams,2022,22,0,0,0,0,9,6,8,10th,Williams FW44,Mercedes F1 M13 E Performance
89,williams,2023,20,0,0,0,0,7,4,28,7th,Williams FW45,Mercedes F1 M14 E Performance
