ENGINES,RACE,GRID POS,W,PTS
Ferrari,8.688172043010752,11.335125448028673,895,183883.5
Mercedes,7.28390901432182,9.29486099410278,4510,348581.0
Red Bull,6.839248434237996,9.766179540709812,2224,136188.0
Renault,6.800670016750419,10.353433835845896,572,123179.0
