,Unnamed: 0,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,EVENT,ENGINES,GRID POS,RACE
54,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Monaco Grand Prix,Mercedes,6,5.0
55,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Monaco Grand Prix,Mercedes,8,8.0
56,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Azerbaijan Grand Prix,Mercedes,5,3.0
57,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Azerbaijan Grand Prix,Mercedes,7,4.0
58,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Canadian Grand Prix,Mercedes,4,3.0
59,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Canadian Grand Prix,Mercedes,8,4.0
60,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,British Grand Prix,Mercedes,5,3.0
61,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,British Grand Prix,Mercedes,8,0.0
62,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Austrian Grand Prix,Mercedes,8,3.0
63,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Austrian Grand Prix,Mercedes,4,4.0
64,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,French Grand Prix,Mercedes,4,2.0
65,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,French Grand Prix,Mercedes,6,3.0
66,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Hungarian Grand Prix,Mercedes,7,2.0
67,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Hungarian Grand Prix,Mercedes,1,3.0
68,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Belgian Grand Prix,Mercedes,5,4.0
69,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Belgian Grand Prix,Mercedes,4,0.0
70,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Dutch Grand Prix,Mercedes,6,2.0
71,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Dutch Grand Prix,Mercedes,4,4.0
72,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Italian Grand Prix,Mercedes,2,3.0
73,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Italian Grand Prix,Mercedes,19,5.0
74,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Singapore Grand Prix,Mercedes,3,9.0
75,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Singapore Grand Prix,Mercedes,20,14.0
76,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Japanese Grand Prix,Mercedes,6,5.0
77,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Japanese Grand Prix,Mercedes,8,8.0
78,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,United States Grand Prix,Mercedes,3,2.0
79,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,United States Grand Prix,Mercedes,4,5.0
80,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Mexican Grand Prix,Mercedes,3,2.0
81,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Mexican Grand Prix,Mercedes,2,4.0
82,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Abu Dhabi Grand Prix,Mercedes,6,5.0
83,1,mercedes,2022,22,1,17,2,6,1,1,515.0,3rd,Abu Dhabi Grand Prix,Mercedes,5,18.0
84,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Russian Grand Prix,Mercedes,16,5.0
85,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Turkish Grand Prix,Mercedes,1,1.0
86,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Turkish Grand Prix,Mercedes,11,5.0
87,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,United States Grand Prix,Mercedes,2,2.0
88,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,United States Grand Prix,Mercedes,9,6.0
89,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Mexican Grand Prix,Mercedes,2,2.0
90,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Mexican Grand Prix,Mercedes,1,15.0
91,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Sao Paulo Grand Prix,Mercedes,10,1.0
92,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Sao Paulo Grand Prix,Mercedes,1,3.0
93,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Qatar Grand Prix,Mercedes,1,1.0
94,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Qatar Grand Prix,Mercedes,6,0.0
95,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Saudi Arabian Grand Prix,Mercedes,1,1.0
96,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Saudi Arabian Grand Prix,Mercedes,2,3.0
97,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Abu Dhabi Grand Prix,Mercedes,2,2.0
98,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Abu Dhabi Grand Prix,Mercedes,6,6.0
99,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Formula 1 Gulf Air Bahrain Grand Prix,Mercedes,2,1.0
100,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Formula 1 Gulf Air Bahrain Grand Prix,Mercedes,3,3.0
101,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Pirelli Gran Premio Del Made in Italy E Dell'Emilia Romagna,Mercedes,1,2.0
102,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Pirelli Gran Premio Del Made in Italy E Dell'Emilia Romagna,Mercedes,8,0.0
103,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Portuguese Grand Prix,Mercedes,2,1.0
104,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Portuguese Grand Prix,Mercedes,1,3.0
105,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Aramco Gran Premio De España,Mercedes,1,1.0
106,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Aramco Gran Premio De España,Mercedes,3,3.0
107,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Monaco Grand Prix,Mercedes,7,7.0
108,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Monaco Grand Prix,Mercedes,3,0.0
109,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Azerbaijan Grand Prix,Mercedes,10,12.0
110,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Azerbaijan Grand Prix,Mercedes,2,15.0
111,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,French Grand Prix,Mercedes,2,2.0
112,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,French Grand Prix,Mercedes,3,4.0
113,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Styrian Grand Prix,Mercedes,2,2.0
114,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Styrian Grand Prix,Mercedes,5,3.0
115,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Austrian Grand Prix,Mercedes,5,2.0
116,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Austrian Grand Prix,Mercedes,4,4.0
117,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,British Grand Prix,Mercedes,2,1.0
118,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,British Grand Prix,Mercedes,3,3.0
119,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Hungarian Grand Prix,Mercedes,1,2.0
120,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Hungarian Grand Prix,Mercedes,2,0.0
121,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Belgian Grand Prix,Mercedes,3,3.0
122,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Belgian Grand Prix,Mercedes,13,12.0
123,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Dutch Grand Prix,Mercedes,2,2.0
124,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Dutch Grand Prix,Mercedes,3,3.0
125,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Italian Grand Prix,Mercedes,19,3.0
126,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Italian Grand Prix,Mercedes,4,0.0
127,2,mercedes,2021,22,9,28,9,10,1,1,613.5,1st,Russian Grand Prix,Mercedes,4,1.0
128,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Austrian Grand Prix,Mercedes,1,1.0
129,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Austrian Grand Prix,Mercedes,5,4.0
130,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Styrian Grand Prix,Mercedes,1,1.0
131,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Styrian Grand Prix,Mercedes,4,2.0
132,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Hungarian Grand Prix,Mercedes,1,1.0
133,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Hungarian Grand Prix,Mercedes,2,3.0
134,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,British Grand Prix,Mercedes,1,1.0
135,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,British Grand Prix,Mercedes,2,11.0
136,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,70th Anniversary Grand Prix,Mercedes,2,2.0
137,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,70th Anniversary Grand Prix,Mercedes,1,3.0
138,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Spanish Grand Prix,Mercedes,1,1.0
139,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Spanish Grand Prix,Mercedes,2,3.0
140,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Belgian Grand Prix,Mercedes,1,1.0
141,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Belgian Grand Prix,Mercedes,2,2.0
142,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Italian Grand Prix,Mercedes,2,5.0
143,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Italian Grand Prix,Mercedes,1,7.0
144,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Tuscany Grand Prix,Mercedes,1,1.0
145,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Tuscany Grand Prix,Mercedes,2,2.0
146,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Russian Grand Prix,Mercedes,3,1.0
147,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Russian Grand Prix,Mercedes,1,3.0
148,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Eifel Grand Prix,Mercedes,2,1.0
149,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Eifel Grand Prix,Mercedes,1,0.0
150,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Portuguese Grand Prix,Mercedes,1,1.0
151,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Portuguese Grand Prix,Mercedes,2,2.0
152,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Emilia Romagna Grand Prix,Mercedes,2,1.0
